SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;00:00;01:00;1;0;Velo;51;2020-01-01 00:00:00;2020-01-01 01:00:00;2020;1;1;2;0;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;01:00;02:00;1;0;Velo;28;2020-01-01 01:00:00;2020-01-01 02:00:00;2020;1;1;2;1;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;02:00;03:00;1;0;Velo;33;2020-01-01 02:00:00;2020-01-01 03:00:00;2020;1;1;2;2;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;03:00;04:00;1;0;Velo;21;2020-01-01 03:00:00;2020-01-01 04:00:00;2020;1;1;2;3;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;04:00;05:00;1;0;Velo;12;2020-01-01 04:00:00;2020-01-01 05:00:00;2020;1;1;2;4;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;05:00;06:00;1;0;Velo;33;2020-01-01 05:00:00;2020-01-01 06:00:00;2020;1;1;2;5;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;06:00;07:00;1;0;Velo;20;2020-01-01 06:00:00;2020-01-01 07:00:00;2020;1;1;2;6;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;07:00;08:00;1;0;Velo;22;2020-01-01 07:00:00;2020-01-01 08:00:00;2020;1;1;2;7;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;08:00;09:00;1;0;Velo;17;2020-01-01 08:00:00;2020-01-01 09:00:00;2020;1;1;2;8;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;09:00;10:00;1;0;Velo;11;2020-01-01 09:00:00;2020-01-01 10:00:00;2020;1;1;2;9;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;10:00;11:00;1;0;Velo;20;2020-01-01 10:00:00;2020-01-01 11:00:00;2020;1;1;2;10;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;11:00;12:00;1;0;Velo;20;2020-01-01 11:00:00;2020-01-01 12:00:00;2020;1;1;2;11;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;12:00;13:00;1;0;Velo;30;2020-01-01 12:00:00;2020-01-01 13:00:00;2020;1;1;2;12;1;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;01.01.2020;13:00;14:00;1;0;Velo;49;2020-01-01 13:00:00;2020-01-01 14:00:00;2020;1;1;2;13;1;350
